source,target
0,0
1,0
0,1
1,1
0,2
1,2
0,3
1,3
0,4
1,4
0,5
1,5
0,6
1,6
0,7
1,7
0,8
1,8
0,9
1,9
0,10
1,10
0,11
1,11
0,12
1,12
0,13
1,13
0,14
1,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,12
2,13
2,14
3,32
4,32
5,32
6,32
7,32
8,32
3,33
4,33
5,33
6,33
7,33
8,33
3,34
4,34
5,34
6,34
7,34
8,34
3,35
4,35
5,35
6,35
7,35
8,35
9,36
10,36
11,36
12,36
9,37
10,37
11,37
12,37
9,38
10,38
11,38
12,38
9,39
10,39
11,39
12,39
9,40
10,40
11,40
12,40
9,41
10,41
11,41
12,41
9,42
10,42
11,42
12,42
9,43
10,43
11,43
12,43
9,44
10,44
11,44
12,44
9,45
10,45
11,45
12,45
9,46
10,46
11,46
12,46
9,47
10,47
11,47
12,47
9,48
10,48
11,48
12,48
9,32
10,32
11,32
12,32
9,31
10,31
11,31
12,31
9,12
10,12
11,12
12,12
9,13
10,13
11,13
12,13
9,14
10,14
11,14
12,14
13,49
13,50
13,51
13,52
13,53
13,54
13,55
13,56
13,57
13,58
13,59
13,60
13,32
13,31
13,33
13,34
13,14
14,61
15,61
16,61
14,62
15,62
16,62
14,63
15,63
16,63
14,64
15,64
16,64
14,65
15,65
16,65
14,66
15,66
16,66
14,67
15,67
16,67
14,68
15,68
16,68
14,69
15,69
16,69
14,70
15,70
16,70
14,71
15,71
16,71
14,72
15,72
16,72
14,32
15,32
16,32
14,12
15,12
16,12
14,34
15,34
16,34
14,14
15,14
16,14
17,73
18,73
19,73
17,74
18,74
19,74
17,75
18,75
19,75
17,76
18,76
19,76
17,77
18,77
19,77
17,76
18,76
19,76
17,78
18,78
19,78
17,79
18,79
19,79
17,80
18,80
19,80
17,81
18,81
19,81
17,32
18,32
19,32
17,31
18,31
19,31
17,12
18,12
19,12
17,13
18,13
19,13
17,14
18,14
19,14
20,82
21,82
20,83
21,83
20,84
21,84
20,85
21,85
20,86
21,86
20,31
21,31
20,12
21,12
20,13
21,13
20,14
21,14
22,87
22,88
22,89
22,90
22,91
22,92
22,93
22,94
22,95
22,96
22,97
22,98
22,87
22,90
22,88
22,32
22,31
22,12
22,13
22,14
23,99
24,99
25,99
23,100
24,100
25,100
23,101
24,101
25,101
23,102
24,102
25,102
23,103
24,103
25,103
23,104
24,104
25,104
23,105
24,105
25,105
23,106
24,106
25,106
23,107
24,107
25,107
23,108
24,108
25,108
23,109
24,109
25,109
23,110
24,110
25,110
23,32
24,32
25,32
23,12
24,12
25,12
23,13
24,13
25,13
23,14
24,14
25,14
26,111
27,111
28,111
26,112
27,112
28,112
26,113
27,113
28,113
26,114
27,114
28,114
26,115
27,115
28,115
26,116
27,116
28,116
26,117
27,117
28,117
26,118
27,118
28,118
26,31
27,31
28,31
26,12
27,12
28,12
26,13
27,13
28,13
26,14
27,14
28,14
29,119
29,120
29,121
29,122
29,123
29,124
29,125
29,122
29,126
29,127
29,32
29,12
29,13
29,14
30,128
31,128
32,128
33,128
34,128
30,129
31,129
32,129
33,129
34,129
30,130
31,130
32,130
33,130
34,130
30,131
31,131
32,131
33,131
34,131
30,132
31,132
32,132
33,132
34,132
30,133
31,133
32,133
33,133
34,133
30,134
31,134
32,134
33,134
34,134
30,135
31,135
32,135
33,135
34,135
30,136
31,136
32,136
33,136
34,136
30,137
31,137
32,137
33,137
34,137
30,31
31,31
32,31
33,31
34,31
30,138
31,138
32,138
33,138
34,138
30,139
31,139
32,139
33,139
34,139
30,140
31,140
32,140
33,140
34,140
30,12
31,12
32,12
33,12
34,12
30,13
31,13
32,13
33,13
34,13
30,14
31,14
32,14
33,14
34,14
35,141
36,141
37,141
35,142
36,142
37,142
35,143
36,143
37,143
35,144
36,144
37,144
35,145
36,145
37,145
35,146
36,146
37,146
35,147
36,147
37,147
35,148
36,148
37,148
35,149
36,149
37,149
35,150
36,150
37,150
35,32
36,32
37,32
35,33
36,33
37,33
35,34
36,34
37,34
35,14
36,14
37,14
38,121
38,151
38,152
38,153
38,154
38,56
38,126
38,155
38,156
38,157
38,32
38,12
38,13
38,14
