STRUCTURE,NOM_REGION,CODE_REG,NOM_DEPT,CODE_DEPT,COLLABORATION
Centre de recherche en éducation de Nantes,Pays de la Loire,52,Loire-Atlantique,44,20
Centre de recherche sur le travail et le développement,Île-de-France,11,Paris,75,20
Dispositifs d'Information et de Communication à l'ère du Numérique - Paris île de France,Île-de-France,11,Paris,75,19
Groupe d'Etude et de Recherche Interdisciplinaire en Information et Communication - ULR 4073,Hauts-de-France,32,Nord,59,19
Cognition Humaine et ARTificielle,Île-de-France,11,Seine-Saint-Denis,93,17
"Médiation, Informatique, Communication, Art",,,,,15
"Groupe de Recherche en informatique, Image et Instrumentation de Caen",Normandie,28,Calvados,14,13
Laboratoire d'Etude des Mécanismes Cognitifs,Auvergne-Rhône-Alpes,84,Rhône,69,13
"Centre d'étude sur les médias, les technologies et l'internationalisation",Île-de-France,11,Seine-Saint-Denis,93,12
Groupe de recherches interdisciplinaires sur les processus d'information et de communication,Île-de-France,11,Paris,75,12
Laboratoire d'Etude de l'Apprentissage et du Développement (Dijon),Bourgogne-Franche-Comté,27,la Côte-d'Or,21,12
Laboratoire Lorrain de Recherche en Informatique et ses Applications,Grand Est,44,Meurthe-et-Moselle,54,11
Centre d'Histoire Culturelle des Sociétés Contemporaines,Île-de-France,11,Yvelines,78,10
"Centre de sociologie des organisations (Sciences Po, CNRS)",Île-de-France,11,Paris,75,10
"CLInique, PSYchanalyse, Développement",Île-de-France,11,Hauts-de-Seine,92,10
Fonctionnement et Dysfonctionnement Cognitifs : Les âges de la vie,Île-de-France,11,"Hauts-de-Seine, Seine-Saint-Denis",92,10
"Laboratoire Information, Milieux, Média, Médiation - EA 3820",Provence-Alpes-Côte d'Azur,93,,,9
Laboratoire d'Interaction des Systèmes et des Technologies,Île-de-France,11,l'Essonne,91,9
"Psychologie : Interaction, Temps, Emotions, Cognition (PSITEC) - ULR",Hauts-de-France,32,Nord,59,9
"Société, environnement, territoire",Occitanie,76,Pyrénées-Atlantiques,64,9
Institut de Recherche en Sciences de l'Information et de Communication,Provence-Alpes-Côte d'Azur,93,Bouches-du-Rhône,13,8
Institut mediterranéen des sciences de l'information et de la communication,Provence-Alpes-Côte d'Azur,93,"Bouches-du-Rhône, Var","13, 83",8
Centre de Robotique,Île-de-France,11,Paris,75,7
Institut d'esthétique des arts contemporains,Île-de-France,11,Paris,75,7
Laboratoire Parisien de Psychologie Sociale,Île-de-France,11,Hauts-de-Seine,92,7
DIST Délégation Information Scientifique et Technique,Île-de-France,11,,,6
Institut Jean-Nicod,Île-de-France,11,Paris,75,6
Laboratoire d'informatique de Paris 6,Île-de-France,11,Paris,75,6
Laboratoire de Psychologie de la Conduite,,,,,6
"Activité, Connaissance, transmission, éducation",Auvergne-Rhône-Alpes,84,Puy-de-Dôme,63,5
Connaissance Organisation et Systèmes TECHniques,Picardie,22,l'Oise,60,5
Laboratoire de ethnométhodologie appliquée,Île-de-France,11,Saint-Denis,93,5
Laboratoire des Sciences de l'Information et de la Communication,Île-de-France,11,Aubervilliers,93,5
MARGE,,,,,5
Observatoire français des conjonctures économiques (Sciences Po),Île-de-France,11,Paris,75,5
"Pacte, Laboratoire de sciences sociales",Auvergne-Rhône-Alpes,84,l'Isère,38,5
Centre d'Etude er de Recherche sur les Emplois et la Professionnalisation - EA 4692,Grand Est,44,la Marne,51,4
Centre de Recherche en Informatique de Paris 5,Île-de-France,11,Paris,75,4
"Centre de Recherche sur l'Education, les apprentissages et la didactique",Bretagne,53,Ille-et-Vilaine,35,4
Centre de Recherche sur les Médiations,Grand Est,44,la Moselle,57,4
Cognition et Activités finalisées,,,,,4
"Cognition, Langues, Langage, Ergonomie",Occitanie,76,la Haute-Garonne,31,4
Formation et apprentissages professionnels,Bourgogne-Franche-Comté,27,,,4
Jet Propulsion Laboratory,,,,,4
Laboratoire d'Informatique Avancée de Saint-Denis,Île-de-France,11,Seine-Saint-Denis,93,4
"Laboratoire d'Informatique, de traitement de l'Information et des Systèmes",Haute-Normandie,23,Seine-Maritime,76,4
Laboratoire d'innovation Numérique pour les Entreprises et les Apprentissage au service de la Compétitivité des Territoires,Île-de-France,11,Paris,75,4
Laboratoire de Psychologie des Comportements et des Mobilités,Île-de-France,11,Yvelines,78,4
