docid,halId_s,version_i,docType_s,citationFull_s,citationRef_s
5188715,hal-05188715,1,COMM,"Max Chevalier, Alexandra Ciaccia. Modélisation utilisateurs et systèmes d'information sur le Web : pour une approche centrée usager. <i>Conférence ""Hypertextes et hypermédias. Produits, Outils et Méthodes Rétrospective et Perspective 1989 - 2009"" (H2PTM'09)</i>, Laboratoire Paragraphe à l’Université Paris 8, Sep 2009, Paris, France. pp.61-73. <a target=""_blank"" href=""https://hal.science/hal-05188715v1"">&#x27E8;hal-05188715&#x27E9;</a>","<i>Conférence ""Hypertextes et hypermédias. Produits, Outils et Méthodes Rétrospective et Perspective 1989 - 2009"" (H2PTM'09)</i>, Laboratoire Paragraphe à l’Université Paris 8, Sep 2009, Paris, France. pp.61-73"
4253914,hal-04253914,1,COMM,"Yannis Delmas-Rigoutsos. Stock et flux des idées sur le web social - Proposition de modélisation de la circulation des représentations à l'époque du numérique ambiant. <i>H2PTM'23 : La fabrique du sens à l’ère des l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.259-272. <a target=""_blank"" href=""https://hal.science/hal-04253914v1"">&#x27E8;hal-04253914&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère des l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.259-272"
5251697,hal-05251697,1,PROCEEDINGS,"Imad Saleh, Nasreddine Bouhai, Sylvie Leleu-Merviel, Ioan Roxin, Manuel Zacklad, et al.. H2PTM’21 : Information : enjeux et nouveaux défis. <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. ISTE Editions, pp.280, 2021, 9781784058227. <a target=""_blank"" href=""https://hal.science/hal-05251697v1"">&#x27E8;hal-05251697&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. ISTE Editions, pp.280, 2021, 9781784058227"
5217026,hal-02299777,1,COMM,"Renée Bourassa, Larrue Jean-Marc, Samuel Szoniecky, Gabrielle Gg Godin. Espace liminaire de l’authenticité : Une démarche d’humanités numériques. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.126-144. <a target=""_blank"" href=""https://univ-paris8.hal.science/hal-02299777v1"">&#x27E8;hal-02299777&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.126-144"
3399071,hal-03399071,1,COMM,"Marilou Kordahi. Signage using semiotics in visual communication for data protection and privacy on the Web. <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.70-78. <a target=""_blank"" href=""https://hal.science/hal-03399071v1"">&#x27E8;hal-03399071&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.70-78"
1037893,hal-01037893,1,COMM,"Mohamed Haouach, Gilles Venturini, Christiane Guinot. Exploration en réalité virtuelle d'un hypermédia 3D construit à partir d'images stéréoscopiques médicales. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.239-249. <a target=""_blank"" href=""https://hal.science/hal-01037893v1"">&#x27E8;hal-01037893&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.239-249"
5194860,hal-03461128,1,COMM,"Philippe Gestin, Joël Langonné, Olivier Trédan. Les petits pas de côté des entreprises de la presse régionale. <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.169-186. <a target=""_blank"" href=""https://hal.science/hal-03461128v1"">&#x27E8;hal-03461128&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.169-186"
1314730,halshs-01314730,1,COMM,"Mohamed Lat Sack Diop, Mohamed Sidir. L'intégration des TIC dans l'enseignement supérieur au Sénégal :  émergence de l'hypermédiatisation. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.373-390. <a target=""_blank"" href=""https://shs.hal.science/halshs-01314730v1"">&#x27E8;halshs-01314730&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.373-390"
5188661,hal-00918031,1,COMM,"Pergia Gkouskou-Giannakou. L'objet site web entre matérialité et discours. La question de la production du sens entre concepteurs, utilisateurs et support. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.351-356. <a target=""_blank"" href=""https://hal.science/hal-00918031v1"">&#x27E8;hal-00918031&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.351-356"
5217046,hal-05217046,1,COMM,"Serge Bouchardon, Hélène Caubel, Pierre Fourny. Poésie à 2 mi-mots et écrans mobiles interactifs : une scène à portée de main. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.245-257. <a target=""_blank"" href=""https://hal.science/hal-05217046v1"">&#x27E8;hal-05217046&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.245-257"
