texte,date
Prétopologie et protection de la vie privée dans l’Internet des Objets,2018
Agent allégorique - Matrices ontologiques,2008
Bibliothèques numériques et crowdsourcing : analyses bibliométriques et text mining,2016
Ontological design for ecosystem information from web 2.0 to collective intelligence,2010
GEVU : Un outil pour territorialiser les usages de la ville,2012
Ethical Modeling of the Internet of Things,2018
Les petites bibliothèques dans l’écosystème d’information mondiale,2012
Entité / identité. Un outil d'indexation des documents relatifs à la poésie numérique,2013
Espace liminaire de l’authenticité : Une démarche d’humanités numériques,2019
Espaces sémio-cognitifs : les frontières des systèmes de recommendation,2014
"Challenges of the Internet of Things: Technique, Use, Ethics",2018
Évaluation et conception d'un langage symbolique pour l'intelligence collective : Vers un langage allégorique pour le Web,2012
Cultiver son jardin numérique : métaphore et dispositifs éditoriaux,2015
Ecosystems Knowledge,2018
Comment valoriser des textualités complexes par le numérique ?,2012
L’usage des diagrammes dans les partitions musicales : du graphique au conceptuel pour une potentialité du geste,2014
"Les frontières des écosystèmes d’informations numériques », dans dirigé par F. Soulages, Laboratoire d’excellence arts et médiations humaines (Saint-Denis, Eds., Paris : l’Harmattan, 2013, p. 65-76.",2013
"2. Szoniecky, S., Bouhai, N., (2016). Intelligence collective et archives numériques. Collection dirigée par Imad Saleh, ISTE, Londres.",2016
Classifications et dispositifs informationnels,2013
AN ONTOLOGY-BASED ENRICHED EBOOK FOR TEACHING STATISTICS,2018
Utilisation d'Omeka-S pour la conception et le partage de ressources pédagogiques,2019
Dictionnaires de catégories pour la génération automatique de proverbes : vers une économie sémantique de l'interprétation,2013
Exploration et modélisation des frontières numériques par un appareil de capture sémantique,2012
ColPri: Towards a Collaborative Privacy Knowledge Management Ontology for the Internet of Things,2020
"Szoniecky S. (2015), « Méthode des humanités numériques : automatismes et intuitions », dans Numérisation de masse et traitement des grands corpus de textes utilisant des méthodes d'humanités numériques, Université de Stuttgart, 12-13 mars 2015.",2015
Tweet Palette : cartographie sémantique pour l'interprétation d'un événement,2012
Le langage du Web du symbolique à l'allégorique,2011
"Szoniecky, S. (2016) « Outillages numériques pour les humanités : cartographier des réseaux d’influences », 6e Colloque International Aliento, Nancy. http://aliento.msh-lorraine.fr/actualites/vuedetails/ article/programme-6e-colloque-aliento-16-17-mars-2016-nancy-paris-france.html",2016
Monades numériques pour une modélisation spatio-temporelle des humanités urbaines,2015
Poèmes Stein graphiques,2014
Agent ontologique pour la veille des écosystèmes d'information,2010
Entity / Identity,2009
Socioinformatique des controverses. Outils socio-informatiques pour l'analyse des controverses,2015
The role of semantic topology in sense-making processes: using metalanguages for knowledge representation.,2012
Outillages numériques pour les humanités : cartographier des réseaux d’influences,2015
Écosystème de connaissances Méthode de modélisation et d’analyse de l’information et de la communication,2018
Interpréter la voix de Deleuze,2015
Collective Intelligence and Digital Archives: Towards Knowledge Ecosystems,2017
Intelligence collective et archives numériques,2017
"Szoniecky, S., (2015), « Interpréter la voix de Deleuze. Exemple de jardinage des connaissances », in: Frontières D’archives Recherches, Mémoires, Savoirs. Editions des archives contemporaines, Paris, pp. 165–177.",2015
Proposition d'une méthode graphique pour le filtrage des flux d'informations,2011
Monades pour une éthique des écosystèmes d'information numériques,2014
Impact des TIC sur la visibilité des SIC à l’international : analyses sémantiques d’un corpus de communiqués diplomatiques,2014
Toward an ontology of the Field of Digital Poetry,2008
L'utilisation d'IEML pour la préservation des langues de faible diffusion,2010
Interpréter les archives Deleuze : exemple de jardinage des connaissances,2014
Générateur hypertextuel pour l’interprétation des médias sociaux dans une topologie sémantique,2011
